Year;Country;Total;Solid Fuel;Liquid Fuel;Gas Fuel;Cement;Gas Flaring;Per Capita;Bunker fuels (Not in Total)
1951;UNITED KINGDOM;148700;132649;14633;4;1413;0;2.93;5813
1952;UNITED KINGDOM;144221;128200;14478;5;1539;0;2.84;6020
1953;UNITED KINGDOM;147404;130568;15280;6;1550;0;2.89;5828
1954;UNITED KINGDOM;150849;132083;17104;9;1653;0;2.95;6061
1955;UNITED KINGDOM;157381;136440;19203;7;1730;0;3.07;6187
1956;UNITED KINGDOM;156662;135066;19822;10;1764;0;3.04;5628
1957;UNITED KINGDOM;155676;131708;22298;17;1653;0;3;4671
1958;UNITED KINGDOM;151729;125235;24850;32;1612;0;2.91;4788
1959;UNITED KINGDOM;149154;116145;31233;37;1739;0;2.85;4834
1960;UNITED KINGDOM;159340;122285;35178;41;1836;0;3.02;5159
1961;UNITED KINGDOM;160605;120873;37736;41;1955;0;3.03;4885
1962;UNITED KINGDOM;161811;119353;40461;59;1938;0;3.03;4563
1963;UNITED KINGDOM;164664;119897;42776;79;1912;0;3.06;4509
1964;UNITED KINGDOM;165900;116332;47120;140;2307;0;3.06;4537
1965;UNITED KINGDOM;169790;115248;51775;460;2307;0;3.11;4787
1966;UNITED KINGDOM;168684;110083;55870;450;2281;0;3.08;4586
1967;UNITED KINGDOM;161581;100568;57866;758;2390;0;2.93;4761
1968;UNITED KINGDOM;165522;101064;60249;1710;2431;67;2.99;5097
1969;UNITED KINGDOM;171491;100422;64953;3344;2369;404;3.08;5377
1970;UNITED KINGDOM;178092;96316;72343;6306;2320;807;3.19;6211
1971;UNITED KINGDOM;180219;93180;73530;10160;2407;942;3.22;6484
1972;UNITED KINGDOM;176844;80007;78934;14372;2454;1076;3.15;6326
1973;UNITED KINGDOM;179993;80745;79630;15555;2718;1345;3.2;6678
1974;UNITED KINGDOM;168423;71879;74042;18603;2419;1480;2.99;5976
1975;UNITED KINGDOM;164615;75379;65843;19482;2297;1614;2.92;4968
1976;UNITED KINGDOM;163325;75043;64315;20207;2146;1614;2.89;5181
1977;UNITED KINGDOM;164916;73985;65527;21564;2102;1739;2.92;4592
1978;UNITED KINGDOM;165008;70725;67523;22250;2165;2346;2.92;4744
1979;UNITED KINGDOM;175864;76845;69071;24343;2195;3409;3.11;4768
1980;UNITED KINGDOM;157974;71154;58482;24133;2014;2191;2.8;4512
1981;UNITED KINGDOM;152937;71344;53229;24456;1731;2177;2.71;3980
1982;UNITED KINGDOM;149583;66797;53507;25468;1763;2049;2.65;4447
1983;UNITED KINGDOM;148825;67474;51056;26520;1822;1954;2.63;4060
1984;UNITED KINGDOM;144351;48457;65113;27186;1833;1762;2.55;4378
1985;UNITED KINGDOM;152674;63947;56080;29460;1814;1374;2.69;4488
1986;UNITED KINGDOM;155107;67815;54873;29549;1824;1047;2.73;4668
1987;UNITED KINGDOM;155950;70765;52795;29342;1946;1102;2.74;4578
1988;UNITED KINGDOM;155567;68168;56262;28893;2245;0;2.72;4856
1989;UNITED KINGDOM;158637;67107;60660;28578;2291;0;2.77;5520
1990;UNITED KINGDOM;151602;64392;55729;29482;1999;0;2.64;7466
1991;UNITED KINGDOM;154576;64544;56582;31778;1672;0;2.68;7092
1992;UNITED KINGDOM;151699;61331;57197;31675;1497;0;2.63;7538
1993;UNITED KINGDOM;148817;53802;56146;36087;1501;1281;2.57;7834
1994;UNITED KINGDOM;149097;50668;57442;37611;1674;1703;2.57;7829
1995;UNITED KINGDOM;146746;47940;55268;40672;1605;1261;2.52;8264
1996;UNITED KINGDOM;150378;45003;54929;47444;1661;1340;2.58;8748
1997;UNITED KINGDOM;143808;40673;52677;47605;1719;1134;2.46;9291
1998;UNITED KINGDOM;145052;39770;52760;49578;1688;1256;2.47;10060
1999;UNITED KINGDOM;144788;35514;53631;52588;1727;1328;2.46;9981
2000;UNITED KINGDOM;147746;37464;52884;54588;1727;1083;2.5;10466
2001;UNITED KINGDOM;148858;39925;51920;54119;1612;1280;2.51;10428
2002;UNITED KINGDOM;144162;36741;51135;53623;1508;1155;2.42;10091
2003;UNITED KINGDOM;147261;39512;51556;53640;1525;1027;2.46;10162
2004;UNITED KINGDOM;147052;38360;51185;54808;1551;1148;2.45;11107
2005;UNITED KINGDOM;147963;39098;52850;53384;1525;1106;2.45;11771
2006;UNITED KINGDOM;147657;42493;51917;50630;1560;1056;2.43;12137
2007;UNITED KINGDOM;144103;40073;50319;51193;1617;902;2.35;12134
2008;UNITED KINGDOM;141993;37061;49926;52763;1370;873;2.31;12787
2009;UNITED KINGDOM;128639;30511;47417;48872;1037;802;2.06;12096
2010;UNITED KINGDOM;134499;31709;47810;53120;1072;787;2.14;11334
2011;UNITED KINGDOM;122124;31296;45006;44043;1160;618;1.93;11977
2012;UNITED KINGDOM;127781;39717;44872;41549;1081;563;2.01;11295
2013;UNITED KINGDOM;124966;38543;43698;41024;1116;586;1.95;11111
2014;UNITED KINGDOM;114486;31081;44274;37340;1218;573;1.78;10921
